response_datetime,problem,is_911_call,primary_offense,subject_injury,force_type,force_type_action,race,sex,age,type_resistance,precinct,neighborhood
1/1/2016 0:47,Assault in Progress ,Yes,DASLT1,,Bodily Force,Body Weight to Pin,Black,Male,20.0,Tensed,1,Downtown East
1/1/2016 2:19,Fight ,No,DISCON,,Chemical Irritant,Personal Mace,Black,Female,27.0,Verbal Non-Compliance,1,Downtown West
1/1/2016 2:19,Fight ,No,DISCON,,Chemical Irritant,Personal Mace,White,Female,23.0,Verbal Non-Compliance,1,Downtown West
1/1/2016 2:28,Fight ,No,PRIORI,,Chemical Irritant,Crowd Control Mace,Black,Male,20.0,Commission of Crime,1,Downtown West
1/1/2016 2:28,Fight ,No,PRIORI,,Chemical Irritant,Crowd Control Mace,Black,Male,20.0,Commission of Crime,1,Downtown West
1/1/2016 2:28,Fight ,No,PRIORI,,Chemical Irritant,Crowd Control Mace,Black,Male,20.0,Commission of Crime,1,Downtown West
1/1/2016 2:28,Fight ,No,PRIORI,,Chemical Irritant,Crowd Control Mace,Black,Female,20.0,Commission of Crime,1,Downtown West
1/1/2016 2:28,Fight ,No,PRIORI,,Chemical Irritant,Crowd Control Mace,Black,Male,20.0,Commission of Crime,1,Downtown West
1/1/2016 2:28,Fight ,No,PRIORI,,Chemical Irritant,Crowd Control Mace,Black,Male,20.0,Unspecified,1,Downtown West
1/1/2016 2:38,Fight ,No,DISCON,No,Chemical Irritant,Crowd Control Mace,Black,Male,18.0,commission of crime,1,Downtown West
1/1/2016 2:38,Fight ,No,DISCON,No,Chemical Irritant,Chemical Munitions,Black,Male,18.0,commission of crime,1,Downtown West
1/1/2016 2:39,Suspicious Person ,No,DISCON,Yes,Bodily Force,Body Weight to Pin,Black,Male,21.0,Tensed,5,Lowry Hill East
1/1/2016 2:39,Suspicious Person ,No,DISCON,Yes,Bodily Force,Joint Lock,Black,Male,21.0,Tensed,5,Lowry Hill East
1/1/2016 2:39,Suspicious Person ,No,DISCON,Yes,Bodily Force,Body Weight to Pin,Black,Male,21.0,Tensed,5,Lowry Hill East
1/1/2016 3:11,Chase on Foot ,No,FLEE,No,Bodily Force,Body Weight to Pin,Black,Male,17.0,Fled in Vehicle,3,Ventura Village
1/1/2016 3:11,Chase on Foot ,No,FLEE,No,Bodily Force,Knees,Black,Male,17.0,Fled in Vehicle,3,Ventura Village
1/1/2016 3:22,Fight ,No,FORCE,,Chemical Irritant,Personal Mace,Black,Male,18.0,Verbal Non-Compliance,1,Downtown West
1/1/2016 3:22,Fight ,No,FORCE,,Chemical Irritant,Personal Mace,Black,Male,18.0,Verbal Non-Compliance,1,Downtown West
1/1/2016 15:22,Check the Welfare ,Yes,THREAT,,Bodily Force,Body Weight to Pin,Native American,Male,63.0,Commission of Crime,5,Lyndale
1/1/2016 17:47,Unwanted Person ,Yes,FORCE,No,Bodily Force,Knees,White,Male,26.0,Tensed,5,Whittier
1/2/2016 20:09,Suspicious Person ,No,OBSTRU,,Bodily Force,Joint Lock,Black,Male,43.0,Tensed,4,Folwell
1/2/2016 20:09,Suspicious Person ,No,OBSTRU,,Bodily Force,Push Away,Black,Male,43.0,Tensed,4,Folwell
1/2/2016 20:09,Suspicious Person ,No,OBSTRU,,Bodily Force,Body Weight to Pin,Black,Male,43.0,Tensed,4,Folwell
1/3/2016 0:33,Stabbing ,No,ASLT2,No,Taser,Red Dot,Black,Male,27.0,Commission of Crime,1,Downtown West
1/3/2016 0:33,Stabbing ,No,ASLT2,No,Bodily Force,Body Weight to Pin,Black,Male,27.0,Commission of Crime,1,Downtown West
1/3/2016 1:43,Disturbance ,No,ASLT4,Yes,Bodily Force,Punches,White,Male,25.0,Assaulted Officer,1,Downtown West
1/3/2016 2:00,Fight ,No,FORCE,,Chemical Irritant,Personal Mace,Black,Female,22.0,Commission of Crime,4,Hawthorne
1/3/2016 2:00,Fight ,No,FORCE,,Chemical Irritant,Personal Mace,Black,Male,25.0,Commission of Crime,4,Hawthorne
1/3/2016 2:00,Fight ,No,FORCE,,Chemical Irritant,Personal Mace,Black,Male,22.0,Commission of Crime,4,Hawthorne
1/3/2016 2:15,Disturbance ,No,DISCON,,Chemical Irritant,Crowd Control Mace,White,Male,22.0,Commission of Crime,2,Marcy Holmes
1/3/2016 2:22,Fight ,No,FORCE,,Chemical Irritant,Personal Mace,Black,Male,18.0,Commission of Crime,1,Downtown West
1/3/2016 2:48,Suspicious Person ,No,OBSTRU,,Bodily Force,Push Away,White,Female,24.0,Commission of Crime,1,Downtown West
1/4/2016 0:44,Domestic Abuse-In Progress ,Yes,OBSTRU,No,Improvised Weapon,Other (specify),Black,Male,22.0,Commission of Crime,4,Willard - Hay
1/4/2016 0:44,Domestic Abuse-In Progress ,Yes,OBSTRU,No,Bodily Force,Body Weight to Pin,Black,Male,22.0,Commission of Crime,4,Willard - Hay
1/4/2016 0:44,Domestic Abuse-In Progress ,Yes,OBSTRU,No,Bodily Force,Joint Lock,Black,Male,22.0,Commission of Crime,4,Willard - Hay
1/4/2016 0:44,Domestic Abuse-In Progress ,Yes,OBSTRU,No,Bodily Force,Body Weight to Pin,Black,Male,22.0,Commission of Crime,4,Willard - Hay
1/4/2016 0:44,Domestic Abuse-In Progress ,Yes,OBSTRU,No,Improvised Weapon,Other (specify),Black,Male,22.0,Commission of Crime,4,Willard - Hay
1/4/2016 9:01,Domestic Abuse-In Progress ,Yes,ASLT4,Yes,Bodily Force,Knees,Black,Male,22.0,Assaulted Officer,4,Willard - Hay
1/4/2016 9:01,Domestic Abuse-In Progress ,Yes,ASLT4,Yes,Taser,Firing Darts,Black,Male,22.0,Assaulted Officer,4,Willard - Hay
1/4/2016 9:01,Domestic Abuse-In Progress ,Yes,ASLT4,Yes,Bodily Force,Conscious Neck Restraint,Black,Male,22.0,Assaulted Officer,4,Willard - Hay
1/4/2016 9:01,Domestic Abuse-In Progress ,Yes,ASLT4,Yes,Bodily Force,Punches,Black,Male,22.0,Assaulted Officer,4,Willard - Hay
1/4/2016 9:01,Domestic Abuse-In Progress ,Yes,ASLT4,Yes,Bodily Force,Punches,Black,Male,22.0,Assaulted Officer,4,Willard - Hay
1/4/2016 9:01,Domestic Abuse-In Progress ,Yes,ASLT4,Yes,Bodily Force,Push Away,Black,Male,22.0,Assaulted Officer,4,Willard - Hay
1/4/2016 18:12,Unknown Trouble ,No,ASLT4,Yes,Bodily Force,Body Weight to Pin,White,Male,54.0,Assaulted Officer,2,Audubon Park
1/4/2016 18:12,Unknown Trouble ,No,ASLT4,Yes,Bodily Force,Push Away,White,Male,54.0,Assaulted Officer,2,Audubon Park
1/5/2016 7:55,Emotionally Disturb Person ,Yes,DASLT5,,Bodily Force,Body Weight to Pin,White,Male,14.0,Tensed,5,Fulton
1/5/2016 7:55,Emotionally Disturb Person ,Yes,DASLT5,,Bodily Force,Body Weight to Pin,White,Male,14.0,Tensed,5,Fulton
1/5/2016 7:55,Emotionally Disturb Person ,Yes,DASLT5,,Bodily Force,Joint Lock,White,Male,14.0,Tensed,5,Fulton
1/5/2016 7:55,Emotionally Disturb Person ,Yes,DASLT5,,Bodily Force,Joint Lock,White,Male,14.0,Tensed,5,Fulton
1/5/2016 18:34,Burglary Dwlng In Progress ,Yes,OBSTRU,,Bodily Force,Joint Lock,Black,Female,20.0,Tensed,4,Harrison
1/5/2016 18:34,Burglary Dwlng In Progress ,Yes,OBSTRU,,Bodily Force,Body Weight to Pin,Black,Female,20.0,Tensed,4,Harrison
1/5/2016 18:34,Burglary Dwlng In Progress ,Yes,OBSTRU,,Bodily Force,Push Away,Black,Female,20.0,Tensed,4,Harrison
1/5/2016 18:34,Burglary Dwlng In Progress ,Yes,OBSTRU,,Bodily Force,Body Weight to Pin,Black,Female,20.0,Tensed,4,Harrison
1/5/2016 18:34,Burglary Dwlng In Progress ,Yes,OBSTRU,,Bodily Force,Joint Lock,Black,Female,20.0,Tensed,4,Harrison
1/5/2016 18:34,Burglary Dwlng In Progress ,Yes,OBSTRU,,Bodily Force,Joint Lock,Black,Female,20.0,Tensed,4,Harrison
